r [cm]       Temp1year    Temp10year   Temp50year   Temp100year
1            300.96       300.8774     300.5881     300.3566     
2            300.9589     300.8764     300.5874     300.3562     
3            300.957      300.8747     300.5863     300.3555     
4            300.9543     300.8722     300.5846     300.3545     
5            300.9508     300.869      300.5824     300.3532     
6            300.9465     300.865      300.5798     300.3516     
7            300.9414     300.8603     300.5767     300.3497     
8            300.9355     300.8549     300.573      300.3475     
9            300.9288     300.8488     300.5689     300.345      
10           300.9212     300.8419     300.5643     300.3422     
11           300.913      300.8344     300.5592     300.3391     
12           300.9039     300.8261     300.5537     300.3358     
13           300.894      300.817      300.5476     300.3321     
14           300.8833     300.8073     300.5411     300.3281     
15           300.8718     300.7968     300.534      300.3239     
16           300.8596     300.7856     300.5265     300.3193     
17           300.8465     300.7736     300.5185     300.3144     
18           300.8327     300.761      300.51       300.3093     
19           300.818      300.7476     300.5011     300.3039     
20           300.8026     300.7335     300.4916     300.2981     
21           300.7864     300.7187     300.4817     300.2921     
22           300.7693     300.7031     300.4713     300.2858     
23           300.7515     300.6868     300.4603     300.2792     
24           300.7329     300.6698     300.4489     300.2722     
25           300.7135     300.6521     300.4371     300.265      
26           300.6933     300.6336     300.4247     300.2575     
27           300.6739     300.6159     300.4128     300.2503     
28           300.6552     300.5988     300.4013     300.2434     
29           300.6371     300.5823     300.3903     300.2366     
30           300.6197     300.5663     300.3796     300.2302     
31           300.6028     300.5509     300.3692     300.2239     
32           300.5864     300.536      300.3592     300.2178     
33           300.5706     300.5215     300.3495     300.2119     
34           300.5552     300.5074     300.3401     300.2062     
35           300.5403     300.4938     300.331      300.2007     
36           300.5258     300.4805     300.3221     300.1953     
37           300.5117     300.4676     300.3134     300.19       
38           300.498      300.4551     300.305      300.1849     
39           300.4846     300.4429     300.2968     300.18       
40           300.4716     300.431      300.2888     300.1751     
41           300.4589     300.4194     300.2811     300.1704     
42           300.4465     300.408      300.2735     300.1658     
43           300.4343     300.3969     300.266      300.1613     
44           300.4225     300.3861     300.2588     300.1569     
45           300.4109     300.3756     300.2517     300.1526     
46           300.3996     300.3652     300.2448     300.1484     
47           300.3885     300.3551     300.238      300.1443     
48           300.3777     300.3452     300.2313     300.1403     
49           300.3671     300.3355     300.2248     300.1363     
50           300.3567     300.326      300.2185     300.1324     
51           300.3465     300.3167     300.2122     300.1287     
52           300.3365     300.3075     300.2061     300.1249     
53           300.3267     300.2986     300.2001     300.1213     
54           300.3171     300.2898     300.1942     300.1177     
55           300.3076     300.2811     300.1884     300.1142     
56           300.2984     300.2727     300.1827     300.1108     
57           300.2892     300.2643     300.1771     300.1074     
58           300.2803     300.2561     300.1717     300.1041     
59           300.2715     300.2481     300.1663     300.1008     
60           300.2628     300.2402     300.161      300.0976     
61           300.2543     300.2324     300.1557     300.0944     
62           300.246      300.2248     300.1506     300.0913     
63           300.2377     300.2172     300.1456     300.0882     
64           300.2296     300.2098     300.1406     300.0852     
65           300.2216     300.2025     300.1357     300.0823     
66           300.2138     300.1954     300.1309     300.0793     
67           300.206      300.1883     300.1262     300.0765     
68           300.1984     300.1813     300.1215     300.0736     
69           300.1909     300.1744     300.1169     300.0708     
70           300.1835     300.1677     300.1123     300.0681     
71           300.1762     300.161      300.1079     300.0654     
72           300.169      300.1544     300.1035     300.0627     
73           300.1619     300.1479     300.0991     300.0601     
74           300.1549     300.1415     300.0948     300.0575     
75           300.148      300.1352     300.0906     300.0549     
76           300.1411     300.129      300.0864     300.0523     
77           300.1344     300.1228     300.0823     300.0498     
78           300.1278     300.1168     300.0782     300.0474     
79           300.1212     300.1108     300.0742     300.0449     
80           300.1147     300.1048     300.0702     300.0425     
81           300.1083     300.099      300.0663     300.0402     
82           300.102      300.0932     300.0624     300.0378     
83           300.0958     300.0875     300.0586     300.0355     
84           300.0896     300.0819     300.0548     300.0332     
85           300.0835     300.0763     300.0511     300.0309     
86           300.0775     300.0708     300.0474     300.0287     
87           300.0715     300.0654     300.0438     300.0265     
88           300.0657     300.06       300.0402     300.0243     
89           300.0598     300.0547     300.0366     300.0221     
90           300.0541     300.0494     300.0331     300.02       
91           300.0484     300.0442     300.0296     300.0179     
92           300.0428     300.0391     300.0261     300.0158     
93           300.0372     300.034      300.0227     300.0137     
94           300.0317     300.029      300.0194     300.0117     
95           300.0263     300.024      300.016      300.0097     
96           300.0209     300.0191     300.0127     300.0077     
97           300.0155     300.0142     300.0095     300.0057     
98           300.0103     300.0094     300.0062     300.0037     
99           300.005      300.0046     300.003      300.0018     
